Wave shift,Intensity
1499.36279,10291
1500.506067,10316
1501.648821,10324
1502.791054,10194
1503.932764,10049
1505.073953,10262
1506.21462,10085
1507.354765,10376
1508.494389,10299
1509.633492,10091
1510.772074,10302
1511.910136,10123
1513.047677,10167
1514.184698,10266
1515.321198,10294
1516.457179,10262
1517.592641,10152
1518.727582,10316
1519.862005,10504
1520.995909,10382
1522.129293,10442
1523.262159,10556
1524.394507,10380
1525.526336,10326
1526.657647,10443
1527.788441,10428
1528.918717,10534
1530.048475,10613
1531.177716,10582
1532.30644,10746
1533.434647,10532
1534.562338,10755
1535.689512,10579
1536.816169,10649
1537.942311,11077
1539.067937,11005
1540.193047,11006
1541.317642,10692
1542.441721,10729
1543.565285,10965
1544.688335,10721
1545.81087,10523
1546.93289,10937
1548.054396,10765
1549.175388,11225
1550.295866,11145
1551.41583,11128
1552.535281,11323
1553.654218,11575
1554.772643,11451
1555.890554,11363
1557.007953,11317
1558.124839,11378
1559.241213,10998
1560.357075,11648
1561.472424,11414
1562.587262,11387
1563.701589,11679
1564.815404,11500
1565.928708,11746
1567.041501,11589
1568.153783,11748
1569.265555,11686
1570.376816,11587
1571.487567,11577
1572.597808,11661
1573.707539,11895
1574.816761,11745
1575.925473,12368
1577.033676,12015
1578.14137,12315
1579.248555,12202
1580.355231,12301
1581.461399,12063
1582.567059,12336
1583.672211,12516
1584.776854,12372
1585.88099,12677
1586.984619,12820
1588.08774,13002
1589.190354,12813
1590.292462,12744
1591.394062,13527
1592.495156,13237
1593.595744,13389
1594.695825,13335
1595.795401,13260
1596.89447,13436
1597.993034,13609
1599.091093,13881
1600.188647,13934
1601.285695,14101
1602.382239,14055
1603.478278,14391
1604.573812,14491
1605.668843,14489
1606.763369,14665
1607.857391,14862
1608.95091,14844
1610.043925,14984
1611.136437,15121
1612.228446,15207
1613.319952,15425
1614.410955,15495
1615.501455,15758
1616.591453,15801
1617.680949,15636
1618.769943,16089
1619.858435,16032
1620.946426,16044
1622.033915,16371
1623.120903,16386
1624.20739,16557
1625.293376,16233
1626.378861,16655
1627.463845,16540
1628.54833,16515
1629.632314,16707
1630.715799,16811
1631.798783,16766
1632.881268,16908
1633.963254,16754
1635.04474,16526
1636.125728,16954
1637.206216,16798
1638.286206,16831
1639.365698,16820
1640.444691,16717
1641.523187,16704
1642.601184,16284
1643.678683,16806
1644.755686,16535
1645.83219,16339
1646.908198,16585
1647.983708,16490
1649.058722,16371
1650.133239,16350
1651.20726,16286
1652.280785,16359
1653.353813,15873
1654.426346,15680
1655.498383,15616
1656.569924,16186
1657.64097,15626
1658.711521,15483
1659.781577,15467
1660.851139,15457
1661.920205,15530
1662.988777,14975
1664.056855,14858
1665.124439,14692
1666.191529,14231
1667.258126,14630
1668.324229,14112
1669.389838,14056
1670.454955,13928
1671.519578,13678
1672.583709,13929
1673.647347,13288
1674.710493,13227
1675.773147,12925
1676.835308,13136
1677.896978,12839
1678.958155,12684
1680.018842,12348
1681.079037,12113
1682.138741,12140
1683.197954,11768
1684.256676,11590
1685.314908,11082
1686.372649,11237
1687.4299,11142
1688.48666,11073
1689.542931,10529
1690.598713,10787
1691.654004,10709
1692.708807,10440
1693.76312,10345
1694.816944,10145
1695.870279,10352
1696.923126,10207
1697.975484,9678
1699.027354,9641
1700.078736,9785
1701.12963,9385
1702.180036,9584
1703.229955,9337
1704.279386,9315
1705.32833,9193
1706.376787,8951
1707.424757,8904
1708.47224,8751
1709.519237,8584
1710.565748,8387
1711.611772,8448
1712.65731,8297
1713.702363,8274
1714.74693,8325
1715.791011,8262
1716.834608,8187
1717.877719,8317
1718.920345,7919
1719.962486,7667
1721.004143,7728
1722.045316,7468
1723.086004,7603
1724.126208,7556
1725.165929,7548
1726.205165,7557
1727.243918,7307
1728.282188,7132
1729.319975,6983
1730.357278,7072
1731.394099,6971
1732.430437,6568
1733.466293,6700
1734.501666,6778
1735.536557,6822
1736.570967,6802
1737.604894,6514
1738.63834,6388
1739.671304,6804
1740.703787,6373
1741.735789,6486
1742.767311,6549
1743.798351,6306
1744.828911,6220
1745.85899,5929
1746.888589,6149
1747.917708,6323
1748.946348,6075
1749.974507,6054
1751.002187,5697
1752.029388,5839
1753.056109,5818
1754.082351,5646
1755.108115,5968
1756.1334,5673
1757.158206,5836
1758.182534,5583
1759.206384,5829
1760.229755,5923
1761.252649,5519
1762.275065,5573
1763.297004,5666
1764.318466,5211
1765.33945,5244
1766.359957,5398
1767.379988,5351
1768.399542,5209
1769.418619,4794
1770.43722,4896
1771.455345,4975
1772.472994,5166
1773.490167,4903
1774.506865,5049
1775.523087,4763
1776.538834,4790
1777.554106,4944
1778.568902,5018
1779.583224,4821
1780.597072,4510
1781.610444,4789
1782.623343,4708
1783.635768,4557
1784.647718,4505
1785.659195,4618
1786.670198,4573
1787.680728,4718
1788.690784,4545
1789.700368,4581
1790.709478,4610
1791.718116,4801
1792.726281,4598
1793.733973,4391
1794.741194,4467
1795.747942,4512
1796.754218,4575
1797.760023,4354
1798.765356,4498
1799.770217,4724
1800.774607,4734
1801.778526,4336
1802.781974,4113
1803.784952,4352
1804.787458,4354
1805.789495,4262
1806.791061,4273
1807.792156,4413
1808.792782,4337
1809.792938,4186
1810.792625,4410
1811.791842,4249
1812.79059,4197
1813.788868,4301
1814.786678,4314
1815.784019,4234
1816.780891,4147
1817.777295,4189
1818.77323,4061
1819.768697,4326
1820.763697,4537
1821.758228,4250
1822.752292,4271
1823.745888,4075
1824.739017,3998
1825.731679,4011
1826.723874,4379
1827.715602,4088
1828.706863,4022
1829.697658,4192
1830.687986,4474
1831.677848,4552
1832.667244,4140
1833.656175,4629
1834.644639,5690
1835.632638,4782
1836.620172,4038
1837.60724,3994
1838.593844,4311
1839.579982,3856
1840.565656,4216
1841.550865,4134
1842.53561,3917
1843.51989,4108
1844.503706,3926
1845.487059,4067
1846.469947,3823
1847.452372,4049
1848.434334,4185
1849.415832,4145
1850.396867,4392
1851.377439,4074
1852.357549,3873
1853.337195,3899
1854.31638,4145
1855.295101,4046
1856.273361,3937
1857.251159,3905
1858.228494,4146
1859.205369,3931
1860.181781,3998
1861.157732,4005
1862.133222,3985
1863.108251,3950
1864.082819,3980
1865.056926,3737
1866.030573,3837
1867.003759,4231
1867.976485,3760
1868.948751,3636
1869.920556,3751
1870.891902,3739
1871.862789,3670
1872.833216,3766
1873.803183,3777
1874.772691,3650
1875.741741,3722
1876.710331,3752
1877.678463,3603
1878.646136,3629
1879.613351,3497
1880.580108,3699
1881.546406,3612
1882.512247,3412
1883.47763,3679
1884.442555,3735
1885.407023,3586
1886.371033,3485
1887.334586,3890
1888.297683,3672
1889.260322,3680
1890.222505,3648
1891.184231,3393
1892.145501,3454
1893.106315,3567
1894.066673,3330
1895.026574,3587
1895.98602,3499
1896.945011,3441
1897.903546,3328
1898.861626,3618
1899.81925,3440
1900.77642,3404
1901.733135,3477
1902.689395,3366
1903.6452,3620
1904.600551,3177
1905.555448,3604
1906.509891,3493
1907.46388,3431
1908.417416,3618
1909.370498,3551
1910.323126,3886
1911.275301,3703
1912.227023,3316
1913.178292,3847
1914.129108,3550
1915.079471,3426
1916.029382,3536
1916.97884,3661
1917.927846,3258
1918.876401,3590
1919.824503,3602
1920.772153,3732
1921.719352,3717
1922.6661,3592
1923.612396,3525
1924.558241,3725
1925.503635,3337
1926.448578,3547
1927.39307,3486
1928.337112,3755
1929.280703,3595
1930.223844,3651
1931.166535,3706
1932.108776,3448
1933.050568,3590
1933.991909,3948
1934.932801,3528
1935.873244,3571
1936.813238,3602
1937.752782,3568
1938.691878,3725
1939.630525,3719
1940.568723,3852
1941.506473,3919
1942.443774,3854
1943.380627,3595
1944.317033,3710
1945.25299,3601
1946.1885,3722
1947.123562,3667
1948.058177,3422
1948.992344,3783
1949.926065,3841
1950.859338,3646
1951.792165,3594
1952.724545,3714
1953.656478,3574
1954.587965,3909
1955.519006,3899
1956.4496,3544
1957.379749,3621
1958.309452,3651
1959.238709,3511
1960.167521,3328
1961.095888,3595
1962.023809,3787
1962.951285,3644
1963.878317,3426
1964.804903,3544
1965.731045,3490
1966.656743,3788
1967.581996,3510
1968.506805,3618
1969.43117,3664
1970.355091,3631
1971.278568,3639
1972.201602,3692
1973.124192,3614
1974.046339,3829
1974.968043,3544
1975.889304,3658
1976.810122,3401
1977.730498,3609
1978.65043,3681
1979.569921,3786
1980.488969,3814
1981.407574,3433
1982.325738,3381
1983.24346,3617
1984.160741,3430
1985.077579,3710
1985.993977,3699
1986.909933,3899
1987.825448,3561
1988.740522,3431
1989.655155,3601
1990.569347,3554
1991.483099,3374
1992.396411,3645
1993.309282,3458
1994.221713,3443
1995.133704,3703
1996.045256,3567
1996.956367,3413
1997.867039,3580
1998.777272,3842
1999.687065,3320
2000.596419,3754
