Waveshift,Intensity
1561.472424,11183
1562.587262,11081
1563.701589,10949
1564.815404,10760
1565.928708,11591
1567.041501,11017
1568.153783,11418
1569.265555,11188
1570.376816,11163
1571.487567,11479
1572.597808,11430
1573.707539,11622
1574.816761,11615
1575.925473,11421
1577.033676,11555
1578.14137,11660
1579.248555,11648
1580.355231,11595
1581.461399,11560
1582.567059,11787
1583.672211,11488
1584.776854,12007
1585.88099,12003
1586.984619,12147
1588.08774,12357
1589.190354,11856
1590.292462,12309
1591.394062,12635
1592.495156,12701
1593.595744,13018
1594.695825,12669
1595.795401,13016
1596.89447,12877
1597.993034,12996
1599.091093,13783
1600.188647,13256
1601.285695,13068
1602.382239,13546
1603.478278,13506
1604.573812,13707
1605.668843,13905
1606.763369,13692
1607.857391,14142
1608.95091,14074
1610.043925,14239
1611.136437,14572
1612.228446,14517
1613.319952,14744
1614.410955,14493
1615.501455,15057
1616.591453,14886
1617.680949,15186
1618.769943,15529
1619.858435,15362
1620.946426,15276
1622.033915,15626
1623.120903,15496
1624.20739,15942
1625.293376,14603
1626.378861,15830
1627.463845,15837
1628.54833,15708
1629.632314,15782
1630.715799,15229
1631.798783,15810
1632.881268,16018
1633.963254,15780
1635.04474,15999
1636.125728,16152
1637.206216,15928
1638.286206,16016
1639.365698,15751
1640.444691,16017
1641.523187,15718
1642.601184,15731
1643.678683,15773
1644.755686,15527
1645.83219,15784
1646.908198,15745
1647.983708,15643
1649.058722,15534
1650.133239,15639
1651.20726,15140
1652.280785,15276
1653.353813,15121
1654.426346,15083
1655.498383,14851
1656.569924,14421
1657.64097,14814
1658.711521,15040
1659.781577,14687
1660.851139,14651
1661.920205,14650
1662.988777,14450
1664.056855,14422
1665.124439,14235
1666.191529,13767
1667.258126,13591
1668.324229,13852
1669.389838,13562
1670.454955,13659
1671.519578,13423
1672.583709,13413
1673.647347,13013
1674.710493,12650
1675.773147,12537
1676.835308,12277
1677.896978,12404
1678.958155,12134
1680.018842,12011
1681.079037,11550
1682.138741,11990
1683.197954,11369
1684.256676,10706
1685.314908,10793
1686.372649,10640
1687.4299,10802
1688.48666,10892
1689.542931,10162
1690.598713,10244
1691.654004,10178
1692.708807,9878
1693.76312,9975
1694.816944,9708
1695.870279,9620
1696.923126,9473
1697.975484,9606
1699.027354,9287
1700.078736,8899
1701.12963,8991
1702.180036,8740
1703.229955,8961
1704.279386,8749
1705.32833,8323
1706.376787,8377
1707.424757,8527
1708.47224,8376
1709.519237,8286
1710.565748,7803
1711.611772,7966
1712.65731,7851
1713.702363,7535
1714.74693,7699
1715.791011,7791
1716.834608,7820
1717.877719,7735
1718.920345,7609
1719.962486,7273
1721.004143,7187
1722.045316,7244
1723.086004,7053
1724.126208,6988
1725.165929,7048
1726.205165,7345
1727.243918,6989
1728.282188,6784
1729.319975,6795
1730.357278,6533
1731.394099,6556
1732.430437,6468
1733.466293,6407
1734.501666,6113
1735.536557,6456
1736.570967,6551
1737.604894,6348
1738.63834,5823
1739.671304,6146
1740.703787,5951
1741.735789,6121
1742.767311,6054
1743.798351,6039
1744.828911,5930
1745.85899,5595
1746.888589,5738
1747.917708,5831
1748.946348,5591
1749.974507,5528
1751.002187,5695
1752.029388,5685
1753.056109,5711
1754.082351,5379
1755.108115,5316
1756.1334,5093
1757.158206,5226
1758.182534,5209
1759.206384,5355
1760.229755,5474
1761.252649,5166
1762.275065,5080
1763.297004,5076
1764.318466,5233
1765.33945,5017
1766.359957,5007
1767.379988,4736
1768.399542,4656
1769.418619,4846
1770.43722,4894
1771.455345,4723
1772.472994,4725
1773.490167,4571
1774.506865,4777
1775.523087,4358
1776.538834,4527
1777.554106,4584
1778.568902,4457
1779.583224,4682
1780.597072,4512
1781.610444,4409
1782.623343,4645
1783.635768,4430
1784.647718,4374
1785.659195,4293
1786.670198,4090
1787.680728,4392
1788.690784,4360
1789.700368,4464
1790.709478,4564
1791.718116,4310
1792.726281,3969
1793.733973,4230
1794.741194,4196
1795.747942,4150
1796.754218,4301
1797.760023,4016
1798.765356,4239
1799.770217,4560
1800.774607,4162
1801.778526,4482
1802.781974,4071
1803.784952,4147
1804.787458,4394
1805.789495,4485
1806.791061,4150
1807.792156,3927
1808.792782,4227
1809.792938,3917
1810.792625,4158
1811.791842,3951
1812.79059,3753
1813.788868,4049
1814.786678,4074
1815.784019,3877
1816.780891,3833
1817.777295,3908
1818.77323,3752
1819.768697,4101
1820.763697,3994
1821.758228,4146
1822.752292,4307
1823.745888,4014
1824.739017,3792
1825.731679,3782
1826.723874,3645
1827.715602,3909
1828.706863,3990
1829.697658,4164
1830.687986,3785
1831.677848,3972
1832.667244,3972
1833.656175,3583
1834.644639,3911
1835.632638,3876
1836.620172,3928
1837.60724,3715
1838.593844,4043
1839.579982,3799
1840.565656,3846
1841.550865,3931
1842.53561,3657
1843.51989,3885
1844.503706,3769
1845.487059,3955
1846.469947,3769
1847.452372,3820
1848.434334,3750
1849.415832,3818
1850.396867,3531
1851.377439,3712
1852.357549,3691
1853.337195,3657
1854.31638,3619
1855.295101,3989
1856.273361,3614
1857.251159,3485
1858.228494,3634
1859.205369,3395
1860.181781,3704
1861.157732,3814
1862.133222,3480
1863.108251,3443
1864.082819,3497
1865.056926,3780
1866.030573,3773
1867.003759,3641
1867.976485,3499
1868.948751,3610
1869.920556,3566
1870.891902,3556
1871.862789,3408
1872.833216,3429
1873.803183,3558
1874.772691,3265
1875.741741,3492
1876.710331,3641
1877.678463,3400
1878.646136,3401
1879.613351,3294
1880.580108,3286
1881.546406,3556
1882.512247,3427
1883.47763,3348
1884.442555,3322
1885.407023,3338
1886.371033,3305
1887.334586,3737
1888.297683,3459
1889.260322,3612
1890.222505,3678
1891.184231,3376
1892.145501,3172
1893.106315,3349
1894.066673,3348
1895.026574,3653
1895.98602,3230
1896.945011,3434
1897.903546,3254
1898.861626,3510
1899.81925,3328
1900.77642,3274
1901.733135,3153
1902.689395,3268
1903.6452,3206
1904.600551,3733
1905.555448,3501
1906.509891,3318
1907.46388,3148
1908.417416,3568
1909.370498,4012
1910.323126,3324
1911.275301,3232
1912.227023,3482
1913.178292,3131
1914.129108,3160
1915.079471,3267
1916.029382,3666
1916.97884,3432
1917.927846,3193
1918.876401,3520
1919.824503,3379
1920.772153,3475
1921.719352,3365
1922.6661,3468
1923.612396,3537
1924.558241,3189
1925.503635,3271
1926.448578,3254
1927.39307,3727
1928.337112,3434
1929.280703,3230
1930.223844,3231
1931.166535,3313
1932.108776,3313
1933.050568,3255
1933.991909,3640
1934.932801,3623
1935.873244,3458
1936.813238,3246
1937.752782,3201
1938.691878,3565
1939.630525,3439
1940.568723,3428
1941.506473,3309
1942.443774,3424
1943.380627,3376
1944.317033,3565
1945.25299,3251
1946.1885,3800
1947.123562,3578
1948.058177,3521
1948.992344,3442
1949.926065,3713
1950.859338,3215
1951.792165,3478
1952.724545,3298
1953.656478,3639
1954.587965,3396
1955.519006,3369
1956.4496,3404
1957.379749,3403
1958.309452,3405
1959.238709,3600
1960.167521,3060
1961.095888,3552
1962.023809,3543
1962.951285,3422
1963.878317,3723
1964.804903,3515
1965.731045,3328
1966.656743,3591
1967.581996,3224
1968.506805,3429
1969.43117,3691
1970.355091,3270
1971.278568,3369
1972.201602,3253
1973.124192,3590
1974.046339,3299
1974.968043,3363
1975.889304,3278
1976.810122,3232
1977.730498,3542
1978.65043,3491
1979.569921,3377
1980.488969,3674
1981.407574,3372
1982.325738,3530
1983.24346,3125
1984.160741,3544
1985.077579,3807
1985.993977,3799
1986.909933,3743
1987.825448,3366
1988.740522,3224
1989.655155,3543
1990.569347,3651
1991.483099,3467
1992.396411,3569
1993.309282,3573
1994.221713,3625
1995.133704,3373
1996.045256,3431
1996.956367,3650
1997.867039,3496
1998.777272,3230
1999.687065,3660
2000.596419,3625
2001.505335,3496
2002.413811,3514
2003.321849,3704
2004.229448,3517
2005.136609,3546
2006.043331,3645
2006.949616,3808
2007.855462,3646
2008.760871,3586
2009.665841,3743
2010.570375,3860
2011.47447,3558
2012.378129,3681
2013.281351,3721
2014.184135,3417
2015.086483,3635
2015.988393,3709
2016.889868,3402
2017.790906,3626
2018.691507,3390
2019.591673,3553
2020.491402,3692
2021.390695,3597
2022.289553,3309
2023.187975,3756
2024.085962,3624
2024.983514,3705
2025.88063,3812
2026.777311,3612
2027.673557,4087
2028.569369,3666
2029.464746,3686
2030.359688,3763
2031.254197,3759
2032.148271,3649
2033.04191,4118
2033.935116,3652
2034.827889,3885
2035.720227,3791
2036.612132,3552
2037.503604,3378
2038.394642,3794
2039.285248,3576
2040.17542,3831
2041.06516,3852
2041.954466,3395
2042.843341,3783
2043.731783,3710
2044.619792,3663
2045.50737,3783
2046.394516,3661
2047.281229,3473
2048.167511,3833
2049.053362,3817
2049.938781,3751
2050.823768,3682
2051.708325,3492
