Frequent,Density
1723.086004,7092
1724.126208,7098
1725.165929,7331
1726.205165,6893
1727.243918,6795
1728.282188,7000
1729.319975,6589
1730.357278,6700
1731.394099,6363
1732.430437,6715
1733.466293,6390
1734.501666,6249
1735.536557,6114
1736.570967,6222
1737.604894,6010
1738.63834,6155
1739.671304,5989
1740.703787,5699
1741.735789,5709
1742.767311,5971
1743.798351,5582
1744.828911,5815
1745.85899,5826
1746.888589,5668
1747.917708,5533
1748.946348,5219
1749.974507,5543
1751.002187,5409
1752.029388,5232
1753.056109,5211
1754.082351,5021
1755.108115,5146
1756.1334,5166
1757.158206,5130
1758.182534,4945
1759.206384,4908
1760.229755,4869
1761.252649,5025
1762.275065,4853
1763.297004,4883
1764.318466,4556
1765.33945,4624
1766.359957,4673
1767.379988,4486
1768.399542,4505
1769.418619,4170
1770.43722,4320
1771.455345,4445
1772.472994,4247
1773.490167,4154
1774.506865,4219
1775.523087,4286
1776.538834,4272
1777.554106,4266
1778.568902,4185
1779.583224,4371
1780.597072,4199
1781.610444,3878
1782.623343,3895
1783.635768,3912
1784.647718,4079
1785.659195,3970
1786.670198,3899
1787.680728,3899
1788.690784,4108
1789.700368,3526
1790.709478,3907
1791.718116,3723
1792.726281,3762
1793.733973,3792
1794.741194,3797
1795.747942,3930
1796.754218,3934
1797.760023,3555
1798.765356,3810
1799.770217,3693
1800.774607,3865
1801.778526,3999
1802.781974,3949
1803.784952,3645
1804.787458,3936
1805.789495,3859
1806.791061,3519
1807.792156,3981
1808.792782,3887
1809.792938,3772
1810.792625,3742
1811.791842,3643
1812.79059,3416
1813.788868,3425
1814.786678,3404
1815.784019,3771
1816.780891,3346
1817.777295,3476
1818.77323,3334
1819.768697,3576
1820.763697,3536
1821.758228,3323
1822.752292,3636
1823.745888,3415
1824.739017,3570
1825.731679,3520
1826.723874,3471
1827.715602,3846
1828.706863,3340
1829.697658,3521
1830.687986,3214
1831.677848,3339
1832.667244,3469
1833.656175,3222
1834.644639,3380
1835.632638,3349
1836.620172,3027
1837.60724,3327
1838.593844,3383
1839.579982,3684
1840.565656,3393
1841.550865,3342
1842.53561,3236
1843.51989,3257
1844.503706,3280
1845.487059,3541
1846.469947,3399
1847.452372,3300
1848.434334,3470
1849.415832,3384
1850.396867,3152
1851.377439,3354
1852.357549,3456
1853.337195,3561
1854.31638,3006
1855.295101,3072
1856.273361,3291
1857.251159,3276
1858.228494,3439
1859.205369,3419
1860.181781,2904
1861.157732,3117
1862.133222,3526
1863.108251,3223
1864.082819,3180
1865.056926,3222
1866.030573,3186
1867.003759,2997
1867.976485,3080
1868.948751,3048
1869.920556,3437
1870.891902,3237
1871.862789,2908
1872.833216,3192
1873.803183,2868
1874.772691,3023
1875.741741,2948
1876.710331,2984
1877.678463,3180
1878.646136,2794
1879.613351,3111
1880.580108,3014
1881.546406,2728
1882.512247,2818
1883.47763,2741
1884.442555,3005
1885.407023,2867
1886.371033,2884
1887.334586,3291
1888.297683,2739
1889.260322,2710
1890.222505,2878
1891.184231,2730
1892.145501,3087
1893.106315,2888
1894.066673,3051
1895.026574,2793
1895.98602,2927
1896.945011,2768
1897.903546,2864
1898.861626,2717
1899.81925,3046
1900.77642,3397
1901.733135,2942
1902.689395,2794
1903.6452,2617
1904.600551,2929
1905.555448,2859
1906.509891,3001
1907.46388,2827
1908.417416,2934
1909.370498,2816
1910.323126,2986
1911.275301,2965
1912.227023,2939
1913.178292,2877
1914.129108,3130
1915.079471,2895
1916.029382,2964
1916.97884,3061
1917.927846,2739
1918.876401,2775
1919.824503,2916
1920.772153,2746
1921.719352,2803
1922.6661,2823
1923.612396,2708
1924.558241,2754
1925.503635,2899
1926.448578,2989
1927.39307,2830
1928.337112,2978
1929.280703,3117
1930.223844,2809
1931.166535,3067
1932.108776,3003
1933.050568,3003
1933.991909,3129
1934.932801,3193
1935.873244,3074
1936.813238,2971
1937.752782,2541
1938.691878,3170
1939.630525,2933
1940.568723,2991
1941.506473,3041
1942.443774,2990
1943.380627,3013
1944.317033,3146
1945.25299,3035
1946.1885,2726
1947.123562,3001
1948.058177,3216
1948.992344,3193
1949.926065,2660
1950.859338,2941
1951.792165,3057
1952.724545,2936
1953.656478,3004
1954.587965,3168
1955.519006,2852
1956.4496,2891
1957.379749,3042
1958.309452,2990
1959.238709,3140
1960.167521,2966
1961.095888,3394
1962.023809,3285
1962.951285,3033
1963.878317,2878
1964.804903,3135
1965.731045,2859
1966.656743,2805
1967.581996,3063
1968.506805,2979
1969.43117,3357
1970.355091,2869
1971.278568,2981
1972.201602,3134
1973.124192,3160
1974.046339,3135
1974.968043,3095
1975.889304,2864
1976.810122,2837
1977.730498,3030
1978.65043,2786
1979.569921,2719
1980.488969,3080
1981.407574,3016
1982.325738,3069
1983.24346,2951
1984.160741,3176
1985.077579,3060
1985.993977,2824
1986.909933,3071
1987.825448,3074
1988.740522,3266
1989.655155,2960
1990.569347,2870
1991.483099,2964
1992.396411,3117
1993.309282,3119
1994.221713,2912
1995.133704,2699
1996.045256,3196
1996.956367,2852
1997.867039,3011
1998.777272,3258
1999.687065,2912
2000.596419,3130
2001.505335,3086
2002.413811,3170
2003.321849,3231
2004.229448,3004
2005.136609,3267
2006.043331,2849
2006.949616,3039
2007.855462,3174
2008.760871,3226
2009.665841,3071
2010.570375,3544
2011.47447,3018
2012.378129,2981
2013.281351,3045
2014.184135,3292
2015.086483,3148
2015.988393,3273
2016.889868,3336
2017.790906,3092
2018.691507,3426
2019.591673,2988
2020.491402,3563
2021.390695,3092
2022.289553,3298
2023.187975,3535
